"pro src","item-gallery src","item-gallery src 2","map-content src","logo-branding src","item-link","item-price","item-detail","item-detail 2","item-detail 3","ellipsis","item-parking","listing-tags"
"","","","","","","","","","","","",""
"https://st3v.idealista.pt/46/e8/06/230290407.mp4#t=3","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/57/a4/69/234801510.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/03/b5/f0/230517153.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/67/aa/73/vd-venda-direta-med-imob.gif","T3 flat in avenida Mediterrâneo, 5, Expo Central, Parque das Nações","980,000","T3","198 m²","6th floor with lift","3 bedroom flat, 6th floor, overlooking the river, in Parque das Nações, with 4 parking spaces and storage room.
Apartment with:
- Spacious entrance hall;
- Bathroom,
-Pantry;
- New Porcelanosa kitchen, fully equipped and at the customer's choice.
- Living room with balcony overlooking the river and Vasco da Gama b","",""
"https://st3v.idealista.pt/49/72/45/234436646.mp4#t=3","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/5e/41/cd/234998632.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/6e/b3/25/234998590.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/30/5e/27/differentblossom.gif","Semi-detached house in rua São Martinho, 1 a, Ventosa, Torres Vedras","450,000","T4","381 m²","","top-end villa semi-detached by the barbecue porch with lots of privacy in a gated community, with 4 bedrooms, garden, barbecue, swimming pool, garage for 3 cars, located close to Praia Azul and Praia da Foz do Sizandro.
The house on the ground floor has a bedroom with bathroom and private access, a garage with automati","Parking included",""
"https://st3v.idealista.pt/d2/d5/fb/237011239.mp4#t=3","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/47/0d/b2/237006897.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/5d/7e/61/237006902.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/2c/fa/86/rede-assiste-marketing-real-estate.gif","T1 flat in rua Amália Rodrigues, Nn, Casais de Mem Martins, Rio de Mouro","219,000","T1","71 m²","Ground floor with lift","THE PROPERTY AND THE BUILDING:
If you are looking for a very sunny 1 bedroom apartment, with a parking space and storage room in a brand new building (2024), ready to move in, this is the unique property.
Carefully decorated, with lighting design and interior designer, filled with state-of-the-art electronics (samsung","Parking included",""
"","","","","","","","","","","","",""
"https://st3v.idealista.pt/46/be/6d/227671247.mp4#t=3","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/f4/4c/98/239631452.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/be/0c/f8/237849974.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/4b/f5/86/remax-yes.gif","Detached house in rua José Régio, Caparide, São Domingos de Rana","695,000","T4","296 m²","","FOR SALE TRADITIONAL STYLE 4 BEDROOM VILLA, WITH GREAT INTERIOR SPACES IN A QUIET AREA.
Located in São Domingos de Rana, Caparide, a family and residential area, surrounded mainly by villas in a dead end street.
Very close to the beaches of Linha de Cascais, shopping areas, such as Cascais Shopping and supermarkets.","Parking included",""
"https://st3v.idealista.pt/26/45/89/239807182.mp4#t=3","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/48/ab/df/239594924.jpg","https://img3.idealista.pt/blur/WEB_LISTING-M/0/id.pro.pt.image.master/f9/c6/60/239595017.jpg","https://st3.idealista.pt/static/common/release/modules/resources/img/static-map-placeholder.jpg","https://st3.idealista.pt/77/eb/fe/ana-macao-kw.gif","Duplex in praceta da Harmonia, Nn, Centro, São Domingos de Rana","439,000","T2","189 m²","3rd floor with lift","São Domingos de Rana is one of the parishes in the municipality of Cascais that has grown and appreciated the most in recent years.
Living in the municipality of Cascais, close to the beaches of Linha do Estoril, is a privilege that you cannot miss!
This 2+1 bedroom duplex is a property with potential that sets it ap","Parking included","Bright"
"","","","","https://st3.idealista.pt/a5/63/2c/proper-invest.gif","T2 flat in rua do Poço Novo, 62, Centro de Cascais, Cascais, Cascais e Estoril","1,100,000","T2","103 m²","1st floor with lift","Luxury apartment located in a fully rehabilitated building in the center of Cascais, offers the perfect balance between elegance and comfort and the sea view, offers you the serenity you are looking for.
Upon entering the apartment, you walk through a corridor that leads you to the living room, where it allows you to","","Sea views"
"","","","","https://st3.idealista.pt/77/eb/fe/ana-macao-kw.gif","T1 flat in avenida da Liberdade, 49, Praça da Alegria, Santo António","849,000","T1","72 m²","4th floor with lift","Come and discover this 1-bedroom apartment, for sale, at LIBERDADE 49, the new luxury development on Avenida da Liberdade.
The iconic corner building was completely renovated and redesigned in 2022 to make the most of the surrounding light.The building has a concierge with security 12h from Monday to Saturday.
Upon e","Parking included",""
"","","","","https://st3.idealista.pt/77/eb/fe/ana-macao-kw.gif","Semi-detached house in rua Camilo de Oliveira, 14, Porto Salvo, Oeiras","1,150,000","T3","184 m²","","In Oeiras, Porto Salvo, in the residential and quiet area of Leceia, you will find this 3-bedroom semi-detached villa, which offers stunning views of the sea and the Serra de Sintra, as well as the surrounding green area.
The area, a recent and modern urban development, the Bairro do Outeiro, is located between the to","Parking included","Sea views"
