,Price,Square Meters,Address,Bedrooms,Bathrooms
0,460 000 €,--,"Cascais, Alcabideche",--,--
1,490 000 €,--,"Cascais, Alcabideche",--,--
2,247 000 €,72,"Odivelas, Odivelas",3,2
3,540 000 €,72,"Cascais, Cascais e Estoril",2,2
4,350 000 €,130,"Lisboa, Arroios",9,2
5,1 000 000 €,--,"Cascais, Cascais e Estoril",--,--
6,228 000 €,99,"Vila Franca de Xira, Alverca do Ribatejo e Sobralinho",2,2
7,1 500 000 €,408,"Cascais, Cascais e Estoril",8,6
8,179 900 €,65,"Amadora, Águas Livres",2,1
9,24 990 €,15920,"Azambuja, Aveiras de Baixo",--,--
10,215 000 €,90,"Sintra, Massamá e Monte Abraão",2,2
11,110 000 €,110,"Lisboa, Areeiro",--,0
12,880 000 €,144,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",2,2
13,323 500 €,80,"Lisboa, Benfica",2,1
14,295 000 €,49,"Cascais, Carcavelos e Parede",1,0
15,290 000 €,138,"Mafra, Encarnação",3,2
16,169 900 €,67,"Amadora, Águas Livres",2,1
17,250 000 €,113,"Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",2,1
18,625 000 €,219,"Lisboa, São Domingos de Benfica",4,3
19,480 000 €,275,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",--,--
20,110 000 €,87,"Lisboa, Arroios",--,0
21,25 000 €,50,"Lisboa, Benfica",--,2
22,155 000 €,70,"Sintra, Queluz e Belas",1,1
23,165 000 €,79,"Cadaval, Cadaval e Pêro Moniz",--,0
24,1 000 000 €,373,"Cascais, Cascais e Estoril",4,4
25,185 000 €,69,"Sintra, Cacém e São Marcos",2,1
26,340 000 €,79,"Lisboa, Benfica",3,2
27,184 500 €,74,"Mafra, Malveira e São Miguel de Alcainça",2,2
28,470 000 €,127,"Odivelas, Odivelas",3,2
29,460 000 €,90,"Lisboa, Lumiar",1,2
30,239 000 €,99,"Sintra, Algueirão-Mem Martins",3,2
31,70 000 €,--,"Sintra, Casal de Cambra",--,0
32,75 000 €,--,"Sintra, Casal de Cambra",--,0
33,160 000 €,75,"Sintra, Agualva e Mira-Sintra",2,1
34,270 000 €,78,"Sintra, Colares",2,2
35,590 000 €,98,"Lisboa, Estrela",2,3
36,300 000 €,48,"Lisboa, Campo de Ourique",1,1
37,267 500 €,122,"Alenquer, Alenquer (Santo Estêvão e Triana)",3,0
38,399 000 €,115,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",3,2
39,85 000 €,41,"Loures, Sacavém e Prior Velho",--,1
40,189 000 €,46,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1,1
