Address,Price,Property Type,Rooms,Bathrooms,Square Meters
"Olivais, Lisboa",415.000 €,Apartamento,4,1,110
"Algueirão-Mem Martins, Lisboa",210.000 €,Apartamento,1,2,0
"São Bento, Lisboa, Lisboa",Sob Consulta,Apartamento,2,2,138
"Arroios, Lisboa",385.000 €,Apartamento,4,1,81
"Pontinha e Famões, Lisboa",250.000 €,Moradia,6,3,162
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",199.000 €,Apartamento,5,1,73
"Encosta do Sol, Lisboa",171.000 €,Apartamento,2,1,1
"Bairro da Coopalme, Sintra",157.500 €,Apartamento,2,1,56
"Sintra / São Marcos, Sintra",270.000 €,Apartamento,2,1,93
"Jardins de Benfica, Lisboa",347.000 €,Apartamento,2,1,73
"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa",Sob Consulta,Apartamento,3,2,105
"Cascais e Estoril, Lisboa",1.175.000 €,Moradia,4,4,355
"Manique, Cascais",295.000 €,Moradia Isolada,2,1,48
"Venteira, Amadora",325.000 €,Apartamento,2,2,100
"Parque das Nações - Expo Norte, Lisboa",345.000 €,Apartamento,1,1,55
"Olivais, Lisboa",Desde500.000 €,Apartamentos,2-3,2-3,96-183
"Alcabideche, Lisboa",2.200.000 €,Moradia Isolada,4,4,107
"Alcabideche, Lisboa",2.150.000 €,Moradia Isolada,4,4,110
"Campo de Ourique, Lisboa",429.000 €,Apartamento,2,2,88
"Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa",Sob Consulta,Apartamento,2,1,85
"Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa",Sob Consulta,Apartamento,2,1,85
"Cascais e Estoril, Lisboa",425.000 €,Moradia,5,3,116
"Casal de Cambra, Lisboa",155.000 €,Apartamento,3,2,85
"Casal Gouveia, Sintra",205.000 €,Apartamento,2,1,86
"Cascais e Estoril, Lisboa",1.250.000 €,Moradia Geminada,4,350,7
"Falagueira-Venda Nova, Lisboa",242.000 €,Apartamento,2,75,2
"Mina de Água, Lisboa",249.900 €,Apartamento,3,88,0
"Massamá Norte, Sintra",429.000 €,Apartamento,4,3,128
"Caparica e Trafaria, Setúbal",480.000 €,Moradia Isolada,5,5,150
"Casal de Cambra, Lisboa",155.000 €,Apartamento,3,2,73
"Odivelas, Lisboa",239.000 €,Apartamento,2,1,80
"Casais Mem Martins, Sintra",138.000 €,Apartamento,1,1,46
"Parque das Nações - Expo Norte, Lisboa",710.000 €,Apartamento,3,2,126
"Algés, Oeiras",600.000 €,Apartamento,3,3,114
"Queluz, Sintra",170.000 €,Apartamento,2,1,67
"Algés, Oeiras",620.000 €,Apartamento,3,2,124
"Algueirão, Sintra",470.000 €,Moradia,4,2,127
"Santa Maria Maior, Lisboa",699.000 €,Apartamento,1,2,85
"Carcavelos Estação, Cascais",1.100.000 €,Moradia Isolada,8,4,242
"Soeiros / Torres de Lisboa, Lisboa",435.000 €,Apartamento,3,2,116
"Algés, Oeiras",485.000 €,Apartamento,2,2,63
"Buraca, Amadora",270.000 €,Apartamento,3,2,86
"Barcarena, Oeiras",700.000 €,Moradia Isolada,5,5,244
"Olivais, Lisboa",Desde550.000 €,Apartamentos,2-4,2-4,107-202
"Moscavide, Loures",299.000 €,Apartamento,0,1,44
"Alapraia, Cascais",360.000 €,Apartamento,3,2,93
"Algés, Oeiras",309.000 €,Apartamento,3,1,90
"Caparica e Trafaria, Setúbal",149.000 €,Apartamento,2,1,70
"Algés, Oeiras",495.000 €,Apartamento,4,2,120
"Algés, Oeiras",515.000 €,Apartamento,2,2,77
"Bairro Casal São Sebastião, Odivelas",669.000 €,Moradia em Banda,5,4,190
"Parque das Nações, Lisboa",1.200.000 €,Apartamento,3,2,112
"Algés, Oeiras",495.000 €,Apartamento,2,2,70
"Algés, Oeiras",485.000 €,Apartamento,2,2,77
"Cascais e Estoril, Lisboa",370.000 €,Apartamento,3,2,98
"Lourel, Sintra",900.000 €,Moradia Isolada,4,3,218
"Damaia de Cima, Amadora",330.000 €,Apartamento,3,2,107
"Ramada e Caneças, Lisboa",299.000 €,Apartamento,3,2,125
"Ajuda, Lisboa",202.000 €,Apartamento,1,1,25
"Santos, Lisboa, Lisboa",675.000 €,Apartamento,5,1,120
"Cascais e Estoril, Lisboa",520.000 €,Apartamento,3,2,98
"Centro de Carnaxide, Oeiras",285.000 €,Apartamento,2,1,90
"Aos Arneiros, Lisboa",450.000 €,Apartamento,4,1,100
"Monte Abraão, Sintra",Sob Consulta,Apartamento,2,1,61
"Aos Arneiros, Lisboa",450.000 €,Apartamento,4,1,100
"Aos Arneiros, Lisboa",260.000 €,Apartamento,1,1,48
"Agualva e Mira-Sintra, Lisboa",220.000 €,Apartamento,4,2,120
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa",315.000 €,Apartamento,2,1,105
"Cova da Piedade, Almada",235.000 €,Apartamento,3,1,70
"Zona Histórica de Paço de Arcos, Oeiras",995.000 €,Casa Senhorial,3,2,200
"Mem Martins, Sintra",185.000 €,Apartamento,2,1,72
"Costa da Caparica, Setúbal",295.000 €,Apartamento,3,2,76
"Trafaria, Almada",260.000 €,Apartamento,2,1,58
"Pontinha e Famões, Lisboa",142.000 €,Apartamento,2,41,2
"Rio de Mouro, Lisboa",170.000 €,Apartamento,2,1,74
"Mina de Água, Lisboa",165.000 €,Apartamento,2,50,0
"Cascais, Cascais",800.000 €,Moradia Isolada,3,4,147
"Caparica e Trafaria, Setúbal",185.000 €,Apartamento,2,1,90
"Massamá 2ª Fase, Sintra",240.000 €,Apartamento,3,2,126
"Parque das Nações - Expo Norte, Lisboa",499.900 €,Apartamento,2,2,77
"Aos Arneiros, Lisboa",375.000 €,Apartamento,2,1,70
"Aos Arneiros, Lisboa",375.000 €,Apartamento,2,1,70
"Massamá e Monte Abraão, Lisboa",322.500 €,Apartamento,3,2,125
"Marvila, Lisboa",365.000 €,Apartamento,3,2,97
"Olivais Sul, Lisboa",235.000 €,Apartamento,2,1,55
"Fonte Nova, Lisboa",197.000 €,Apartamento,1,1,36
"Olivais Norte, Lisboa",320.000 €,Apartamento,3,1,70
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa",450.000 €,Apartamento,3,2,98
"Rinchoa, Sintra",185.000 €,Apartamento,2,1,84
"Cacém e São Marcos, Lisboa",249.000 €,Apartamento,3,2,89
"Barcarena, Lisboa",890.000 €,Moradia,4,4,179
"Alto dos Barronhos, Oeiras",224.000 €,Apartamento,3,2,85
"À Av. Uruguai, Lisboa",338.000 €,Apartamento,2,1,65
"Barcarena, Oeiras",460.000 €,Duplex,4,3,190
"Linda-a-velha, Oeiras",1.297.000 €,Moradia,5,4,393
"Alcântara, Lisboa",1.162.500 €,Apartamento,3,3,150
"À Av. Uruguai, Lisboa",399.900 €,Apartamento,3,2,85
"Jardins do Cristo Rei, Lisboa",249.000 €,Apartamento,2,1,72
"Bairro das Amendoeiras, Lisboa",250.000 €,Apartamento,3,1,92
"Damaia de Cima, Amadora",255.000 €,Apartamento,2,2,93
"Damaia de Cima, Amadora",255.000 €,Apartamento,2,2,93
"Damaia de Cima, Amadora",255.000 €,Apartamento,3,2,85
"Avenidas Novas, Lisboa",345.000 €,Apartamento,0,1,43
"Santo António, Lisboa",1.190.000 €,Duplex,4,2,160
"Póvoa de Santa Iria e Forte da Casa, Lisboa",172.500 €,Apartamento,2,1,73
"Avenidas Novas, Lisboa",840.000 €,Apartamento,3,3,183
"Almoçageme, Sintra",649.000 €,Moradia Geminada,2,2,136
"Loures, Loures",264.000 €,Apartamento,2,1,97
"Lumiar, Lisboa",575.000 €,Apartamento,3,3,135
"Parque das Nações - Expo Sul, Lisboa",950.000 €,Apartamento,4,3,173
"Madragoa, Lisboa, Lisboa",225.000 €,Apartamento,1,1,32
"Areeiro, Lisboa",330.000 €,Apartamento,4,2,109
"Olivais Sul, Lisboa",599.000 €,Apartamento,5,2,165
"Praça de Espanha, Lisboa",480.000 €,Apartamento,1,2,68
"Areeiro, Lisboa",210.000 €,Apartamento,1,1,35
"Serra de Carnaxide, Oeiras",500.000 €,Apartamento,3,2,107
"Lumiar, Lisboa",298.000 €,Apartamento,2,1,114
"São Bernardino, Peniche",220.000 €,Moradia,2,1,53
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa",410.000 €,Apartamento,2,2,120
"Camarate, Unhos e Apelação, Lisboa",75.000 €,Apartamento,3,1,60
"Camarate, Unhos e Apelação, Lisboa",50.000 €,Apartamento,4,2,75
"Carnaxide, Oeiras",495.000 €,Apartamento,3,2,110
"Laranjeiras Metro, Lisboa",Sob Consulta,Apartamento,4,2,170
"Largo da Paz, Lisboa",260.000 €,Apartamento,1,1,44
"Portela, Loures",430.000 €,Apartamento,3,2,106
"Alfragide, Amadora",285.000 €,Apartamento,3,2,80
"Em Construção, Cascais",470.000 €,Moradia Isolada,3,2,106
"Venteira, Amadora",200.000 €,Apartamento,2,1,66
"Venteira, Lisboa",240.875 €,Apartamento,3,2,70
"Algueirão-Mem Martins, Lisboa",165.000 €,Apartamento,2,1,64
"Campolide, Lisboa",230.000 €,Apartamento,1,1,30
"Belém, Lisboa",660.000 €,Apartamento,3,2,140
"Algueirão/Mem-Martins, Sintra",174.000 €,Apartamento,2,1,76
"Alcabideche, Lisboa",550.000 €,Andar Moradia,3,3,176
"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa",460.000 €,Apartamento,2,2,90
"Odivelas, Lisboa",239.000 €,Apartamento,2,1,80
"Olaias, Lisboa",480.000 €,Apartamento,3,2,101
"Mem Martins, Sintra",150.000 €,Apartamento,2,1,58
"Olivais Sul, Lisboa",350.000 €,Apartamento,2,1,90
"Pinheiro de Loures, Loures",390.000 €,Moradia,4,2,160
"Vialonga, Lisboa",320.000 €,Apartamento,3,2,119
"Ajuda, Lisboa",Sob Consulta,Apartamento,2,1,0
"Povoa de Santa Iria e Forte da Casa, Vila Franca , Vila Franca de Xira",390.000 €,Apartamento,4,3,182
"Lumiar, Lisboa",255.000 €,Apartamento,2,2,55
"Queluz e Belas, Lisboa",149.900 €,Apartamento,3,1,70
"Fernão Ferro, Setúbal",380.000 €,Moradia Geminada,4,3,125
"Fernão Ferro, Setúbal",370.000 €,Moradia em Banda,4,3,136
"Barcarena, Lisboa",230.000 €,Apartamento,1,1,-1
"Bairro do Rosário, Cascais",335.000 €,Apartamento,1,1,40
"Vila Franca de Xira, Vila Franca de Xira",Sob Consulta,Apartamento,3,1,72
"Damaia de Cima, Amadora",175.000 €,Apartamento,2,1,70
"Cacém e São Marcos, Lisboa",155.000 €,Apartamento,1,1,55
"Laranjeiras Metro, Lisboa",1.080.000 €,Apartamento,4,3,150
"Linda-a-Velha, Oeiras",158.000 €,Apartamento,1,1,53
"Carcavelos e Parede, Lisboa",775.000 €,Moradia,3,2,202
"Falagueira-Venda Nova, Lisboa",207.000 €,Apartamento,2,1,86
"Lumiar, Lisboa",280.000 €,Apartamento,1,1,60
"Campo de Ourique, Lisboa",395.000 €,Apartamento,3,1,81
"Agualva e Mira-Sintra, Lisboa",225.000 €,Duplex,3,1,90
"Alvalade, Lisboa",195.000 €,Apartamento,0,1,33
"São Domingos de Rana, Lisboa",750.000 €,Moradia Geminada,3,3,197
"São Domingos de Rana, Lisboa",750.000 €,Moradia Geminada,3,3,197
"Campolide, Lisboa",390.000 €,Apartamento,2,1,66
"Damaia de Cima, Amadora",179.000 €,Apartamento,2,65,1
"Odivelas, Odivelas",415.000 €,Apartamento,3,2,111
