,Price,Square Meters,Address,Bedrooms,Bathrooms,Listing Type
0,2 100 000 €,326,"Cascais, Cascais e Estoril",5,5,Moradia
1,59 950 €,48,"Sintra, Rio de Mouro",--,0,Loja
2,500 000 €,492,"Cascais, São Domingos de Rana",--,--,Quinta
3,750 000 €,192,"Oeiras, Carnaxide e Queijas",7,5,Moradia
4,750 000 €,220,"Lisboa, Lumiar",2,2,Apartamento
5,3 200 000 €,253,"Lisboa, Santa Maria Maior",3,3,Apartamento
6,560 000 €,107,"Lisboa, Alcântara",2,2,Apartamento
7,244 500 €,46,"Lisboa, Benfica",1,1,Apartamento
8,195 000 €,130,"Loures, Sacavém e Prior Velho",4,2,Moradia
9,190 000 €,51,"Amadora, Venteira",2,--,Apartamento
10,190 000 €,47,"Lisboa, Misericórdia",2,1,Apartamento
11,1 390 000 €,196,"Cascais, Alcabideche",5,5,Moradia
12,680 000 €,113,"Lisboa, Arroios",4,4,Apartamento
13,580 000 €,113,"Lisboa, Arroios",4,4,Apartamento
14,85 000 €,165,"Sintra, Queluz e Belas",--,0,Garagem
15,199 900 €,93,"Lisboa, Santa Clara",2,1,Apartamento
16,355 000 €,79,"Cascais, Carcavelos e Parede",3,1,Apartamento
17,247 000 €,72,"Odivelas, Odivelas",3,2,Apartamento
18,460 000 €,--,"Cascais, Alcabideche",--,--,Terreno
19,490 000 €,--,"Cascais, Alcabideche",--,--,Terreno
20,540 000 €,72,"Cascais, Cascais e Estoril",2,2,Moradia
21,350 000 €,130,"Lisboa, Arroios",9,2,Apartamento
22,1 000 000 €,--,"Cascais, Cascais e Estoril",--,--,Terreno
23,228 000 €,99,"Vila Franca de Xira, Alverca do Ribatejo e Sobralinho",2,2,Apartamento
24,1 500 000 €,408,"Cascais, Cascais e Estoril",8,6,Moradia
25,179 900 €,65,"Amadora, Águas Livres",2,1,Apartamento
26,24 990 €,15920,"Azambuja, Aveiras de Baixo",--,--,Terreno
27,215 000 €,90,"Sintra, Massamá e Monte Abraão",2,2,Apartamento
28,110 000 €,110,"Lisboa, Areeiro",--,0,Trespasse
29,880 000 €,144,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",2,2,Apartamento
30,323 500 €,80,"Lisboa, Benfica",2,1,Apartamento
31,295 000 €,49,"Cascais, Carcavelos e Parede",1,0,Apartamento
32,290 000 €,138,"Mafra, Encarnação",3,2,Apartamento
33,169 900 €,67,"Amadora, Águas Livres",2,1,Apartamento
34,250 000 €,113,"Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",2,1,Apartamento
35,625 000 €,219,"Lisboa, São Domingos de Benfica",6,3,Apartamento
36,480 000 €,275,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",--,--,Prédio
37,110 000 €,87,"Lisboa, Arroios",--,0,Loja
38,25 000 €,50,"Lisboa, Benfica",--,2,Loja
39,155 000 €,70,"Sintra, Queluz e Belas",1,1,Apartamento
40,60 000 €,79,"Cadaval, Cadaval e Pêro Moniz",--,0,Outros - Habitação
41,1 000 000 €,373,"Cascais, Cascais e Estoril",4,4,Moradia
42,185 000 €,69,"Sintra, Cacém e São Marcos",2,1,Apartamento
43,340 000 €,79,"Lisboa, Benfica",3,2,Apartamento
44,184 500 €,74,"Mafra, Malveira e São Miguel de Alcainça",2,2,Apartamento
45,470 000 €,127,"Odivelas, Odivelas",3,2,Apartamento
46,460 000 €,90,"Lisboa, Lumiar",1,2,Apartamento
47,239 000 €,99,"Sintra, Algueirão-Mem Martins",3,2,Apartamento
48,70 000 €,--,"Sintra, Casal de Cambra",--,0,Terreno
49,75 000 €,--,"Sintra, Casal de Cambra",--,0,Terreno
50,160 000 €,75,"Sintra, Agualva e Mira-Sintra",2,1,Apartamento
51,270 000 €,78,"Sintra, Colares",2,2,Apartamento
52,590 000 €,98,"Lisboa, Estrela",2,3,Apartamento
53,300 000 €,48,"Lisboa, Campo de Ourique",1,1,Apartamento
54,267 500 €,122,"Alenquer, Alenquer (Santo Estêvão e Triana)",3,2,Apartamento
55,399 000 €,115,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",3,2,Apartamento
56,85 000 €,41,"Loures, Sacavém e Prior Velho",--,1,Loja
57,189 000 €,46,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1,1,Apartamento
58,280 000 €,138,"Alenquer, Alenquer (Santo Estêvão e Triana)",3,2,Apartamento
59,262 500 €,138,"Alenquer, Alenquer (Santo Estêvão e Triana)",3,2,Apartamento
60,127 000 €,151,"Alenquer, Abrigada e Cabanas de Torres",--,2,Outros - Comercial
61,277 500 €,138,"Alenquer, Alenquer (Santo Estêvão e Triana)",3,2,Apartamento
62,257 500 €,122,"Alenquer, Alenquer (Santo Estêvão e Triana)",3,2,Apartamento
63,275 000 €,220,"Loures, Camarate, Unhos e Apelação",--,0,Prédio
64,275 000 €,138,"Alenquer, Alenquer (Santo Estêvão e Triana)",3,2,Apartamento
65,525 000 €,329,"Vila Franca de Xira, Alhandra, São João dos Montes e Calhandriz",4,4,Moradia
66,260 000 €,72,"Cascais, Carcavelos e Parede",2,1,Apartamento
